particle#	x_coord	y_coord	image_name
771	2616	1200	06jul12a_00022gr_00037sq_00025hl_00004en
772	2724	788	06jul12a_00022gr_00037sq_00025hl_00004en
773	2832	564	06jul12a_00022gr_00037sq_00025hl_00004en
774	2780	284	06jul12a_00022gr_00037sq_00025hl_00004en
775	3020	404	06jul12a_00022gr_00037sq_00025hl_00004en
776	3120	164	06jul12a_00022gr_00037sq_00025hl_00004en
777	3324	440	06jul12a_00022gr_00037sq_00025hl_00004en
778	3708	848	06jul12a_00022gr_00037sq_00025hl_00004en
779	3524	1004	06jul12a_00022gr_00037sq_00025hl_00004en
780	3252	944	06jul12a_00022gr_00037sq_00025hl_00004en
781	3116	1064	06jul12a_00022gr_00037sq_00025hl_00004en
782	2984	836	06jul12a_00022gr_00037sq_00025hl_00004en
783	3128	1436	06jul12a_00022gr_00037sq_00025hl_00004en
784	2972	1676	06jul12a_00022gr_00037sq_00025hl_00004en
785	2820	1916	06jul12a_00022gr_00037sq_00025hl_00004en
786	2412	1692	06jul12a_00022gr_00037sq_00025hl_00004en
787	2676	2076	06jul12a_00022gr_00037sq_00025hl_00004en
788	2952	2204	06jul12a_00022gr_00037sq_00025hl_00004en
789	3164	2148	06jul12a_00022gr_00037sq_00025hl_00004en
790	3264	1908	06jul12a_00022gr_00037sq_00025hl_00004en
791	3188	1688	06jul12a_00022gr_00037sq_00025hl_00004en
792	3516	1844	06jul12a_00022gr_00037sq_00025hl_00004en
793	3372	2196	06jul12a_00022gr_00037sq_00025hl_00004en
794	3624	2124	06jul12a_00022gr_00037sq_00025hl_00004en
795	3524	2364	06jul12a_00022gr_00037sq_00025hl_00004en
796	3236	2504	06jul12a_00022gr_00037sq_00025hl_00004en
797	3012	2420	06jul12a_00022gr_00037sq_00025hl_00004en
798	2784	2592	06jul12a_00022gr_00037sq_00025hl_00004en
799	2948	2712	06jul12a_00022gr_00037sq_00025hl_00004en
800	2856	3048	06jul12a_00022gr_00037sq_00025hl_00004en
801	2664	3048	06jul12a_00022gr_00037sq_00025hl_00004en
802	3164	2892	06jul12a_00022gr_00037sq_00025hl_00004en
803	3248	3152	06jul12a_00022gr_00037sq_00025hl_00004en
804	1980	2828	06jul12a_00022gr_00037sq_00025hl_00004en
805	2124	2696	06jul12a_00022gr_00037sq_00025hl_00004en
806	2004	2288	06jul12a_00022gr_00037sq_00025hl_00004en
807	3404	3260	06jul12a_00022gr_00037sq_00025hl_00004en
808	3336	3444	06jul12a_00022gr_00037sq_00025hl_00004en
809	3252	3764	06jul12a_00022gr_00037sq_00025hl_00004en
810	3456	3620	06jul12a_00022gr_00037sq_00025hl_00004en
811	3612	3600	06jul12a_00022gr_00037sq_00025hl_00004en
812	3600	3396	06jul12a_00022gr_00037sq_00025hl_00004en
813	2328	3696	06jul12a_00022gr_00037sq_00025hl_00004en
814	2108	3744	06jul12a_00022gr_00037sq_00025hl_00004en
815	1808	3908	06jul12a_00022gr_00037sq_00025hl_00004en
816	2160	3060	06jul12a_00022gr_00037sq_00025hl_00004en
817	1172	3416	06jul12a_00022gr_00037sq_00025hl_00004en
818	1068	3612	06jul12a_00022gr_00037sq_00025hl_00004en
819	1292	3596	06jul12a_00022gr_00037sq_00025hl_00004en
820	620	3704	06jul12a_00022gr_00037sq_00025hl_00004en
821	876	2936	06jul12a_00022gr_00037sq_00025hl_00004en
822	668	2924	06jul12a_00022gr_00037sq_00025hl_00004en
823	384	2772	06jul12a_00022gr_00037sq_00025hl_00004en
824	468	2592	06jul12a_00022gr_00037sq_00025hl_00004en
